filename,label,arch,nodes,edges,out_degree,in_degree,density,closeness_centrality,betweeness_centrality,connected_components,diameter,radius,total_trans,total_cal,total_ctl,avg_trans,avg_cal,avg_ctl,avg_block,avg_block_size
a30f5916e6d86042e3a349ef2bf5434d463c34b278c5e7ab7718e20bf8b4bd3c,0,1,183,321,0.005464481,0.005464481,0.009637903,0.082780575,0.034958943,1,25,2,289,319,156,1.579234973,1.743169399,0.852459016,1.754098361,7.93442623
a30f945241fbdc596aafad6cc47a0cd4882adc3521f05fed6c4fc727ddc1c326,0,7,786,1748,0.001272265,0.001272265,0.002833017,0.102164141,0.005549578,4,47,2,7288,3142,672,9.272264631,3.997455471,0.854961832,2.223918575,16.57506361
a3125a9d9ee450a17d5fd13271788468ea831dfd1901c00aab5e39b080b6ca25,0,7,194,263,0.005154639,0.005154639,0.007024197,0.022764612,0.008261945,24,26,2,1002,373,141,5.164948454,1.922680412,0.726804124,1.355670103,10.2628866
a312f2480f58c8a643137ee26fe6f607e48ae20603f6bebb479660fe32e2ad59,0,7,542,1136,0.001845018,0.001845018,0.003874198,0.103088188,0.008105854,2,44,2,4542,1994,472,8.380073801,3.67896679,0.870848708,2.095940959,16.68081181
a31322b749f9adf7ac011557aea9d02f44b5b78cba9a198fdf2da3995b26ac9e,0,7,600,728,0.001666667,0.001666667,0.002025598,0.00350646,6.87E-05,43,19,2,3080,577,122,5.133333333,0.961666667,0.203333333,1.213333333,8.563333333
a3141b6bd3b01cfee7b721a32754031ecc335c8629fcf2e8c531d2cf5c9a64e8,0,1,101,149,0.00990099,0.00990099,0.014752475,0.054092426,0.010661066,5,14,2,169,218,48,1.673267327,2.158415842,0.475247525,1.475247525,6.811881188
a31423e80e88d73060236b9fbebd3e77f984fdef6c8eadb7093b6e828d7f901c,0,1,383,666,0.002610966,0.002610966,0.004552103,0.060807437,0.008514226,44,27,2,672,767,295,1.754569191,2.002610966,0.770234987,1.738903394,5.82767624
a315ae409087c4e17490e8431ac80d434b67f32fcfe7b0971ecab8530db75681,0,7,3717,9092,0.000269034,0.000269034,0.00065825,0.101202686,0.001727174,10,81,2,42354,14722,2801,11.39467312,3.960721012,0.753564703,2.446058649,18.3984396
a31655cccf0e3641e5a046485dece45800984618a97532f692f35ea255a84b13,0,7,346,540,0.002890173,0.002890173,0.00452375,0.018663956,0.013943577,8,54,2,608,107,28,1.757225434,0.309248555,0.080924855,1.560693642,3.199421965
a3169a2ba416b55bf83868ee87e7d5324164e21fc8c91ba027cd3a9b71d45bce,0,7,126,183,0.007936508,0.007936508,0.011619048,0.0274183,0.003226318,3,11,2,1086,524,75,8.619047619,4.158730159,0.595238095,1.452380952,18.42857143
